Name,VPN,Works,Time,History
example0,example0.nordvpn.com.udp.ovpn,False,"{'01/01/1970, 00:00:00'}",[False]
mx59,mx59.nordvpn.com.udp.ovpn,False,"{'02/24/2023, 12:01:03'}",[False]
us6292,us6292.nordvpn.com.udp.ovpn,True,"{'02/24/2023, 12:03:35'}",[True]
ca1000,ca1000.nordvpn.com.udp.ovpn,False,"{'02/24/2023, 12:06:30'}",[False]
us6441,us6441.nordvpn.com.udp.ovpn,False,"{'02/24/2023, 12:06:42'}",[False]
sk51,sk51.nordvpn.com.udp.ovpn,True,"{'02/24/2023, 12:08:16'}",[True]
fr830,fr830.nordvpn.com.udp.ovpn,True,"{'02/24/2023, 12:08:21'}",[True]
us8820,us8820.nordvpn.com.tcp.ovpn,False,"{'02/24/2023, 12:08:33'}",[False]
at131,at131.nordvpn.com.udp.ovpn,True,"{'02/24/2023, 12:08:38'}",[True]
us9072,us9072.nordvpn.com.udp.ovpn,False,"{'02/24/2023, 12:08:54'}",[False]
us9102,us9102.nordvpn.com.udp.ovpn,True,"{'02/24/2023, 12:09:00'}",[True]
pl185,pl185.nordvpn.com.udp.ovpn,False,"{'02/24/2023, 12:10:45'}",[False]
lu90,lu90.nordvpn.com.udp.ovpn,False,"{'02/24/2023, 12:10:59'}",[False]
pt83,pt83.nordvpn.com.udp.ovpn,True,"{'02/24/2023, 12:11:05'}",[True]
us9465,us9465.nordvpn.com.udp.ovpn,False,"{'02/24/2023, 12:11:15'}",[False]
us9148,us9148.nordvpn.com.tcp.ovpn,False,"{'02/24/2023, 12:11:26'}",[False]
de776,de776.nordvpn.com.udp.ovpn,False,"{'02/24/2023, 12:11:37'}",[False]
de1058,de1058.nordvpn.com.udp.ovpn,False,"{'02/24/2023, 12:11:47'}",[False]
at138,at138.nordvpn.com.udp.ovpn,False,"{'02/24/2023, 12:11:58'}",[False]
de781,de781.nordvpn.com.udp.ovpn,False,"{'02/24/2023, 12:12:12'}",[False]
